feature,family,nat_median,syn_median,cliffs_delta,mw_p
S_zipa_s,zipa,0.20835884660482407,0.29580506682395935,0.773,6.157356656379187e-21
S_zipa_ʃ,zipa,0.08968526497483253,0.021138640120625496,-0.6749,2.495561469706476e-16
R_spec_centroid,zipa,855.5345458984375,1172.1788330078125,0.6611,9.860286936105643e-16
S_spec_variance,zipa,1883770.625,2739593.0,0.634,1.3700520770913255e-14
S_spec_centroid,zipa,2296.136962890625,3213.74365234375,0.6332,1.474164035599141e-14
DT_zipa2_ʃ,zipa,0.011449383106082678,0.04068883880972862,0.619,5.546860041512702e-14
DT_zipa_ʃ,zipa,0.011370196472853422,0.04068883880972862,0.602,2.649164595496483e-13
S_zipa_ʂ,zipa,5.181068991078064e-05,1.8076609194395132e-05,-0.6008,2.955699739968443e-13
R_spec_variance,zipa,302282.203125,551285.8125,0.563,8.035800467526374e-12
S_spec_logBR,zipa,-0.2791488468647003,0.18118111789226532,0.5614,9.25851572427482e-12
MF_i_F3,formant,2789.8468017578125,2903.853271484375,0.5549,1.5931297030807553e-11
DT_zipa2_t,zipa,0.14264651387929916,0.17111431062221527,0.5506,2.2766370515195096e-11
S_spec_peak,zipa,1505.865966796875,2197.732666015625,0.5434,4.1488154505283436e-11
DT_zipa_t,zipa,0.1427641063928604,0.17111431062221527,0.5411,4.9920688130208785e-11
R_spec_peak,zipa,613.4714965820312,733.8742065429688,0.5291,1.3117933989566542e-10
MF_u_F1,formant,550.1618957519531,669.3850708007812,0.5286,1.3667714684986028e-10
DT_zipa2_ʒ,zipa,0.014521223492920399,0.04539251700043678,0.5197,2.767864788357068e-10
DT_zipa_ʒ,zipa,0.01420865161344409,0.04539251700043678,0.5171,3.393569011868071e-10
MF_i_F2,formant,1921.75,2046.80810546875,0.5115,5.259303749594912e-10
S_zipa_ʒ,zipa,0.001135096128564328,0.003197404323145747,0.51,5.880590892610265e-10
S_zipa_z,zipa,0.001822667254600674,0.003230472095310688,0.4843,4.077432018870384e-09
LTFD_F1m,formant,584.6767272949219,640.5796508789062,0.4682,1.3041536285382985e-08
MF_i_F1,formant,606.4912109375,734.5122680664062,0.4547,3.358856704696316e-08
S_spec_skew,zipa,1.5202850699424744,0.9438458681106567,-0.4346,1.3052339236605826e-07
S_zipa_ɕ,zipa,8.013479964574799e-05,2.3543445422546938e-05,-0.4243,2.565647075403196e-07
LTFD_F1sd,formant,333.5200500488281,419.1039733886719,0.4211,3.170051027378745e-07
MF_o_F1,formant,557.4110107421875,610.8121948242188,0.4204,3.3105516280512734e-07
MF_u_F3,formant,2677.0208740234375,2750.8955078125,0.4172,4.0579748958092584e-07
DT_spec_centroid,zipa,1636.0064697265625,1934.9276123046875,0.4094,6.631855770742267e-07
S_zipa_x,zipa,3.168299554090481e-05,2.1319794541341253e-05,-0.4061,8.156638319552229e-07
DT_spec_peak,zipa,1055.334228515625,1313.8021240234375,0.3935,1.7646438701782514e-06
MF_a_F2,formant,1525.1340942382812,1592.59326171875,0.3704,6.845815062528037e-06
LTFD_F2m,formant,1651.37890625,1713.6326904296875,0.3626,1.064692354412414e-05
R_zipa_ʀ,zipa,8.951260679168627e-05,0.00013931372086517513,0.3625,1.069133505996644e-05
MF_e_F2,formant,1762.3432006835938,1844.7203369140625,0.3597,1.2511497260099527e-05
LTFD_F3m,formant,2657.603759765625,2730.728271484375,0.3587,1.3270228408544652e-05
MF_e_F3,formant,2631.0975341796875,2711.328125,0.3585,1.3412814111333128e-05
R_spec_kurt,zipa,42.78256416320801,20.980356216430664,-0.3585,1.3396602765052816e-05
S_spec_kurt,zipa,10.510700702667236,6.044381141662598,-0.3561,1.5323395602509544e-05
MF_u_F2,formant,1473.849853515625,1573.149169921875,0.3528,1.834076575001201e-05
LTFD_F2sd,formant,465.275390625,504.7549743652344,0.3379,4.0830510771656965e-05
LTF0_sd,formant,49.68903160095215,38.80331039428711,-0.3225,8.981127831236904e-05
MF_ɛ_F1,formant,571.5914306640625,641.7793579101562,0.3142,0.00013568366332337252
R_spec_skew,zipa,4.220708131790161,2.9985663890838623,-0.31,0.00016679903444987785
MF_ɔ_F1,formant,612.4688415527344,655.8653564453125,0.2691,0.0010828921632984382
MF_ɛ_F2,formant,1823.3379516601562,1898.626953125,0.2682,0.0011287012958023038
MF_a_F1,formant,587.2785339355469,617.0264892578125,0.2635,0.0013737179087220809
MF_ɛ_F3,formant,2706.9945068359375,2756.71875,0.2597,0.0016144193827558788
R_zipa_r,zipa,0.00948293786495924,0.014912270940840244,0.2566,0.0018331226837644838
DT_zipa2_d,zipa,0.1421489715576172,0.1649293601512909,0.2542,0.002022957261546699
DT_zipa_d,zipa,0.1423909217119217,0.1649293601512909,0.2533,0.0020958420168282407
MF_e_F1,formant,547.1980285644531,591.5516357421875,0.2474,0.002659219180834989
MF_a_F3,formant,2555.5509033203125,2608.1826171875,0.2246,0.006388341551527821
DT_zipa_j,zipa,0.0005912451888434589,0.002481575822457671,0.2176,0.008243431406250844
